year,week,home_team,away_team,winner
2000,1,Minnesota Vikings,Chicago Bears,Vikings
2000,1,Kansas City Chiefs,Indianapolis Colts,Colts
2000,1,Washington Redskins,Carolina Panthers,Redskins
2000,1,Atlanta Falcons,San Francisco 49ers,Falcons
2000,1,Pittsburgh Steelers,Baltimore Ravens,Ravens
2000,1,Cleveland Browns,Jacksonville Jaguars,Jaguars
2000,1,New England Patriots,Tampa Bay Buccaneers,Bucaneers
2000,1,New Orleans Saints,Detroit Lions,Lions
2000,1,New York Giants,Arizona Cardinals,Giants
2000,1,Dallas Cowboys,Philadelphia Eagles,Eagles
2000,1,Oakland Raiders,San Diego Chargers,Raiders
2000,1,Miami Dolphins,Seattle Seahawks,Dolphins
2000,1,Green Bay Packers,New York Jets,Jets
2000,1,Buffalo Bills,Tennessee Titans,Bills
2000,1,St. Louis Rams,Denver Broncos,Rams
2000,2,Minnesota Vikings,Miami Dolphins,Vikings
2000,2,Cincinnati Bengals,Cleveland Browns,Browns
2000,2,Indianapolis Colts,Oakland Raiders,Raiders
2000,2,Tampa Bay Buccaneers,Chicago Bears,Bucaneers
2000,2,Buffalo Bills,Green Bay Packers,Bills
2000,2,Baltimore Ravens,Jacksonville Jaguars,Ravens
2000,2,Philadelphia Eagles,New York Giants,Giants
2000,2,Tennessee Titans,Kansas City Chiefs,Titans
2000,2,San Diego Chargers,New Orleans Saints,Saints
2000,2,San Francisco 49ers,Carolina Panthers,Panthers
2000,2,Seattle Seahawks,St. Louis Rams,Rams
2000,2,Detroit Lions,Washington Redskins,Lions
2000,2,Denver Broncos,Atlanta Falcons,Broncos
2000,2,Arizona Cardinals,Dallas Cowboys,Cardinals
2000,2,New York Jets,New England Patriots,Jets
2000,3,Jacksonville Jaguars,Cincinnati Bengals,Jaguars
2000,3,Cleveland Browns,Pittsburgh Steelers,Browns
2000,3,Green Bay Packers,Philadelphia Eagles,Packers
2000,3,Carolina Panthers,Atlanta Falcons,Falcons
2000,3,St. Louis Rams,San Francisco 49ers,Rams
2000,3,New York Jets,Buffalo Bills,Jets
2000,3,Detroit Lions,Tampa Bay Buccaneers,Bucaneers
2000,3,Chicago Bears,New York Giants,Giants
2000,3,Oakland Raiders,Denver Broncos,Broncos
2000,3,Kansas City Chiefs,San Diego Chargers,Chiefs
2000,3,Seattle Seahawks,New Orleans Saints,Seahawks
2000,3,New England Patriots,Minnesota Vikings,Vikings
2000,3,Miami Dolphins,Baltimore Ravens,Dolphins
2000,3,Washington Redskins,Dallas Cowboys,Cowboys
2000,4,Pittsburgh Steelers,Tennessee Titans,Titans
2000,4,Baltimore Ravens,Cincinnati Bengals,Ravens
2000,4,Chicago Bears,Detroit Lions,Lions
2000,4,New Orleans Saints,Philadelphia Eagles,Eagles
2000,4,Atlanta Falcons,St. Louis Rams,Rams
2000,4,Miami Dolphins,New England Patriots,Dolphins
2000,4,Dallas Cowboys,San Francisco 49ers,49ers
2000,4,Arizona Cardinals,Green Bay Packers,Packers
2000,4,Tampa Bay Buccaneers,New York Jets,Jets
2000,4,San Diego Chargers,Seattle Seahawks,Seahawks
2000,4,Denver Broncos,Kansas City Chiefs,Chiefs
2000,4,Oakland Raiders,Cleveland Browns,Raiders
2000,4,New York Giants,Washington Redskins,Redskins
2000,4,Indianapolis Colts,Jacksonville Jaguars,Colts
2000,5,Buffalo Bills,Indianapolis Colts,Colts
2000,5,Detroit Lions,Minnesota Vikings,Vikings
2000,5,Carolina Panthers,Dallas Cowboys,Cowboys
2000,5,St. Louis Rams,San Diego Chargers,Rams
2000,5,Tennessee Titans,New York Giants,Titans
2000,5,Cleveland Browns,Baltimore Ravens,Ravens
2000,5,Jacksonville Jaguars,Pittsburgh Steelers,Steelers
2000,5,Cincinnati Bengals,Miami Dolphins,Dolphins
2000,5,Denver Broncos,New England Patriots,Patriots
2000,5,San Francisco 49ers,Arizona Cardinals,49ers
2000,5,Green Bay Packers,Chicago Bears,Bears
2000,5,Washington Redskins,Tampa Bay Buccaneers,Redskins
2000,5,Philadelphia Eagles,Atlanta Falcons,Eagles
2000,5,Kansas City Chiefs,Seattle Seahawks,Chiefs
2000,6,Cincinnati Bengals,Tennessee Titans,Titans
2000,6,New York Jets,Pittsburgh Steelers,Steelers
2000,6,Detroit Lions,Green Bay Packers,Lions
2000,6,New England Patriots,Indianapolis Colts,Patriots
2000,6,Miami Dolphins,Buffalo Bills,Dolphins
2000,6,Philadelphia Eagles,Washington Redskins,Redskins
2000,6,Chicago Bears,New Orleans Saints,Saints
2000,6,San Francisco 49ers,Oakland Raiders,Raiders
2000,6,Atlanta Falcons,New York Giants,Giants
2000,6,Carolina Panthers,Seattle Seahawks,Panthers
2000,6,San Diego Chargers,Denver Broncos,Broncos
2000,6,Arizona Cardinals,Cleveland Browns,Cardinals
2000,6,Jacksonville Jaguars,Baltimore Ravens,Ravens
2000,6,Minnesota Vikings,Tampa Bay Buccaneers,Vikings
2000,7,Kansas City Chiefs,Oakland Raiders,Raiders
2000,7,Buffalo Bills,San Diego Chargers,Bills
2000,7,Pittsburgh Steelers,Cincinnati Bengals,Steelers
2000,7,Washington Redskins,Baltimore Ravens,Redskins
2000,7,St. Louis Rams,Atlanta Falcons,Rams
2000,7,New York Giants,Dallas Cowboys,Giants
2000,7,New Orleans Saints,Carolina Panthers,Saints
2000,7,Seattle Seahawks,Indianapolis Colts,Colts
2000,7,New England Patriots,New York Jets,Jets
2000,7,Denver Broncos,Cleveland Browns,Broncos
2000,7,Arizona Cardinals,Philadelphia Eagles,Eagles
2000,7,Green Bay Packers,San Francisco 49ers,Packers
2000,7,Chicago Bears,Minnesota Vikings,Vikings
2000,7,Tennessee Titans,Jacksonville Jaguars,Titans
2000,8,Tampa Bay Buccaneers,Detroit Lions,Lions
2000,8,Dallas Cowboys,Arizona Cardinals,Cowboys
2000,8,Indianapolis Colts,New England Patriots,Colts
2000,8,Kansas City Chiefs,St. Louis Rams,Chiefs
2000,8,Cincinnati Bengals,Denver Broncos,Bengals
2000,8,Minnesota Vikings,Buffalo Bills,Vikings
2000,8,Carolina Panthers,San Francisco 49ers,Panthers
2000,8,Baltimore Ravens,Tennessee Titans,Titans
2000,8,Philadelphia Eagles,Chicago Bears,Eagles
2000,8,Atlanta Falcons,New Orleans Saints,Saints
2000,8,Oakland Raiders,Seattle Seahawks,Raiders
2000,8,Pittsburgh Steelers,Cleveland Browns,Steelers
2000,8,Jacksonville Jaguars,Washington Redskins,Redskins
2000,8,New York Jets,Miami Dolphins,Jets
2000,9,Tampa Bay Buccaneers,Minnesota Vikings,Bucaneers
2000,9,Buffalo Bills,New York Jets,Bills
2000,9,Miami Dolphins,Green Bay Packers,Dolphins
2000,9,Baltimore Ravens,Pittsburgh Steelers,Steelers
2000,9,Atlanta Falcons,Carolina Panthers,Falcons
2000,9,Cleveland Browns,Cincinnati Bengals,Bengals
2000,9,Indianapolis Colts,Detroit Lions,Colts
2000,9,Arizona Cardinals,New Orleans Saints,Saints
2000,9,San Francisco 49ers,St. Louis Rams,Rams
2000,9,New York Giants,Philadelphia Eagles,Giants
2000,9,Dallas Cowboys,Jacksonville Jaguars,Jaguars
2000,9,Seattle Seahawks,Kansas City Chiefs,Chiefs
2000,9,San Diego Chargers,Oakland Raiders,Raiders
2000,9,Washington Redskins,Tennessee Titans,Titans
2000,10,Detroit Lions,Miami Dolphins,Dolphins
2000,10,New Orleans Saints,San Francisco 49ers,Saints
2000,10,Chicago Bears,Indianapolis Colts,Bears
2000,10,New England Patriots,Buffalo Bills,Bills
2000,10,Atlanta Falcons,Tampa Bay Buccaneers,Bucaneers
2000,10,Philadelphia Eagles,Dallas Cowboys,Eagles
2000,10,Tennessee Titans,Pittsburgh Steelers,Titans
2000,10,Cincinnati Bengals,Baltimore Ravens,Ravens
2000,10,Cleveland Browns,New York Giants,Giants
2000,10,Oakland Raiders,Kansas City Chiefs,Raiders
2000,10,Arizona Cardinals,Washington Redskins,Cardinals
2000,10,Seattle Seahawks,San Diego Chargers,Seahawks
2000,10,New York Jets,Denver Broncos,Broncos
2000,10,St. Louis Rams,Carolina Panthers,Panthers
2000,10,Green Bay Packers,Minnesota Vikings,Packers
2000,11,Dallas Cowboys,Cincinnati Bengals,Cowboys
2000,11,Minnesota Vikings,Arizona Cardinals,Vikings
2000,11,Pittsburgh Steelers,Philadelphia Eagles,Eagles
2000,11,Detroit Lions,Atlanta Falcons,Lions
2000,11,Carolina Panthers,New Orleans Saints,Saints
2000,11,Buffalo Bills,Chicago Bears,Bills
2000,11,Jacksonville Jaguars,Seattle Seahawks,Seahawks
2000,11,Tennessee Titans,Baltimore Ravens,Ravens
2000,11,Cleveland Browns,New England Patriots,Browns
2000,11,San Francisco 49ers,Kansas City Chiefs,49ers
2000,11,San Diego Chargers,Miami Dolphins,Dolphins
2000,11,Tampa Bay Buccaneers,Green Bay Packers,Bucaneers
2000,11,New York Giants,St. Louis Rams,Rams
2000,11,Indianapolis Colts,New York Jets,Colts
2000,11,Denver Broncos,Oakland Raiders,Broncos
2000,12,Minnesota Vikings,Carolina Panthers,Vikings
2000,12,Kansas City Chiefs,Buffalo Bills,Bills
2000,12,New England Patriots,Cincinnati Bengals,Patriots
2000,12,Philadelphia Eagles,Arizona Cardinals,Eagles
2000,12,New Orleans Saints,Oakland Raiders,Raiders
2000,12,Green Bay Packers,Indianapolis Colts,Packers
2000,12,New York Giants,Detroit Lions,Lions
2000,12,Tennessee Titans,Cleveland Browns,Titans
2000,12,Chicago Bears,Tampa Bay Buccaneers,Bears
2000,12,Miami Dolphins,New York Jets,Jets
2000,12,Denver Broncos,San Diego Chargers,Broncos
2000,12,Baltimore Ravens,Dallas Cowboys,Ravens
2000,12,San Francisco 49ers,Atlanta Falcons,49ers
2000,12,Pittsburgh Steelers,Jacksonville Jaguars,Jaguars
2000,12,St. Louis Rams,Washington Redskins,Redskins
2000,13,Detroit Lions,New England Patriots,Lions
2000,13,Dallas Cowboys,Minnesota Vikings,Vikings
2000,13,Tampa Bay Buccaneers,Buffalo Bills,Bucaneers
2000,13,Baltimore Ravens,Cleveland Browns,Ravens
2000,13,Washington Redskins,Philadelphia Eagles,Eagles
2000,13,Cincinnati Bengals,Pittsburgh Steelers,Steelers
2000,13,St. Louis Rams,New Orleans Saints,Saints
2000,13,New York Jets,Chicago Bears,Jets
2000,13,Oakland Raiders,Atlanta Falcons,Raiders
2000,13,Indianapolis Colts,Miami Dolphins,Dolphins
2000,13,San Diego Chargers,Kansas City Chiefs,Chargers
2000,13,Jacksonville Jaguars,Tennessee Titans,Jaguars
2000,13,Seattle Seahawks,Denver Broncos,Broncos
2000,13,Arizona Cardinals,New York Giants,Giants
2000,13,Carolina Panthers,Green Bay Packers,Panthers
2000,14,Minnesota Vikings,Detroit Lions,Vikings
2000,14,Pittsburgh Steelers,Oakland Raiders,Steelers
2000,14,Washington Redskins,New York Giants,Giants
2000,14,Tampa Bay Buccaneers,Dallas Cowboys,Bucaneers
2000,14,Buffalo Bills,Miami Dolphins,Dolphins
2000,14,New Orleans Saints,Denver Broncos,Broncos
2000,14,Cincinnati Bengals,Arizona Cardinals,Bengals
2000,14,Philadelphia Eagles,Tennessee Titans,Titans
2000,14,Carolina Panthers,St. Louis Rams,Panthers
2000,14,Atlanta Falcons,Seattle Seahawks,Seahawks
2000,14,San Diego Chargers,San Francisco 49ers,49ers
2000,14,New York Jets,Indianapolis Colts,Jets
2000,14,Jacksonville Jaguars,Cleveland Browns,Jaguars
2000,14,Chicago Bears,Green Bay Packers,Packers
2000,14,New England Patriots,Kansas City Chiefs,Patriots
2000,15,Kansas City Chiefs,Carolina Panthers,Chiefs
2000,15,Chicago Bears,New England Patriots,Bears
2000,15,Baltimore Ravens,San Diego Chargers,Ravens
2000,15,Green Bay Packers,Detroit Lions,Packers
2000,15,Jacksonville Jaguars,Arizona Cardinals,Jaguars
2000,15,Miami Dolphins,Tampa Bay Buccaneers,Bucaneers
2000,15,New York Giants,Pittsburgh Steelers,Giants
2000,15,Tennessee Titans,Cincinnati Bengals,Titans
2000,15,Cleveland Browns,Philadelphia Eagles,Eagles
2000,15,Denver Broncos,Seattle Seahawks,Broncos
2000,15,San Francisco 49ers,New Orleans Saints,Saints
2000,15,Dallas Cowboys,Washington Redskins,Cowboys
2000,15,St. Louis Rams,Minnesota Vikings,Rams
2000,15,Oakland Raiders,New York Jets,Raiders
2000,15,Indianapolis Colts,Buffalo Bills,Colts
2000,16,Pittsburgh Steelers,Washington Redskins,Steelers
2000,16,Seattle Seahawks,Oakland Raiders,Seahawks
2000,16,Kansas City Chiefs,Denver Broncos,Chiefs
2000,16,Minnesota Vikings,Green Bay Packers,Packers
2000,16,New York Jets,Detroit Lions,Lions
2000,16,Cincinnati Bengals,Jacksonville Jaguars,Bengals
2000,16,Buffalo Bills,New England Patriots,Patriots
2000,16,New Orleans Saints,Atlanta Falcons,Saints
2000,16,Cleveland Browns,Tennessee Titans,Titans
2000,16,Carolina Panthers,San Diego Chargers,Panthers
2000,16,San Francisco 49ers,Chicago Bears,49ers
2000,16,Arizona Cardinals,Baltimore Ravens,Ravens
2000,16,Miami Dolphins,Indianapolis Colts,Colts
2000,16,Dallas Cowboys,New York Giants,Giants
2000,16,Tampa Bay Buccaneers,St. Louis Rams,Bucaneers
2000,17,New York Giants,Jacksonville Jaguars,Giants
2000,17,Denver Broncos,San Francisco 49ers,Broncos
2000,17,Seattle Seahawks,Buffalo Bills,Bills
2000,17,Washington Redskins,Arizona Cardinals,Redskins
2000,17,Detroit Lions,Chicago Bears,Bears
2000,17,New England Patriots,Miami Dolphins,Dolphins
2000,17,Baltimore Ravens,New York Jets,Ravens
2000,17,Green Bay Packers,Tampa Bay Buccaneers,Packers
2000,17,New Orleans Saints,St. Louis Rams,Rams
2000,17,Philadelphia Eagles,Cincinnati Bengals,Eagles
2000,17,Atlanta Falcons,Kansas City Chiefs,Falcons
2000,17,San Diego Chargers,Pittsburgh Steelers,Steelers
2000,17,Indianapolis Colts,Minnesota Vikings,Colts
2000,17,Oakland Raiders,Carolina Panthers,Raiders
2000,17,Tennessee Titans,Dallas Cowboys,Titans
2000,WildCard,Miami Dolphins,Indianapolis Colts,Dolphins
2000,WildCard,New Orleans Saints,St. Louis Rams,Saints
2000,WildCard,Baltimore Ravens,Denver Broncos,Ravens
2000,WildCard,Philadelphia Eagles,Tampa Bay Buccaneers,Eagles
2000,Division,Minnesota Vikings,New Orleans Saints,Vikings
2000,Division,Oakland Raiders,Miami Dolphins,Raiders
2000,Division,Tennessee Titans,Baltimore Ravens,Ravens
2000,Division,New York Giants,Philadelphia Eagles,Giants
2000,ConfChamp,New York Giants,Minnesota Vikings,Giants
2000,ConfChamp,Oakland Raiders,Baltimore Ravens,Ravens
2000,SuperBowl,Baltimore Ravens,New York Giants,Ravens
2001,1,Kansas City Chiefs,Oakland Raiders,Raiders
2001,1,Green Bay Packers,Detroit Lions,Packers
2001,1,Dallas Cowboys,Tampa Bay Buccaneers,Bucaneers
2001,1,Minnesota Vikings,Carolina Panthers,Panthers
2001,1,Cleveland Browns,Seattle Seahawks,Seahawks
2001,1,Baltimore Ravens,Chicago Bears,Ravens
2001,1,Cincinnati Bengals,New England Patriots,Bengals
2001,1,New York Jets,Indianapolis Colts,Colts
2001,1,Jacksonville Jaguars,Pittsburgh Steelers,Jaguars
2001,1,Buffalo Bills,New Orleans Saints,Saints
2001,1,San Francisco 49ers,Atlanta Falcons,49ers
2001,1,San Diego Chargers,Washington Redskins,Chargers
2001,1,Philadelphia Eagles,St. Louis Rams,Rams
2001,1,Tennessee Titans,Miami Dolphins,Dolphins
2001,1,Denver Broncos,New York Giants,Broncos
2001,2,Kansas City Chiefs,New York Giants,Giants
2001,2,Chicago Bears,Minnesota Vikings,Bears
2001,2,Indianapolis Colts,Buffalo Bills,Colts
2001,2,Miami Dolphins,Oakland Raiders,Dolphins
2001,2,Jacksonville Jaguars,Tennessee Titans,Jaguars
2001,2,Cincinnati Bengals,Baltimore Ravens,Bengals
2001,2,Atlanta Falcons,Carolina Panthers,Falcons
2001,2,Dallas Cowboys,San Diego Chargers,Chargers
2001,2,Cleveland Browns,Detroit Lions,Browns
2001,2,New England Patriots,New York Jets,Jets
2001,2,Seattle Seahawks,Philadelphia Eagles,Eagles
2001,2,San Francisco 49ers,St. Louis Rams,Rams
2001,2,Arizona Cardinals,Denver Broncos,Broncos
2001,2,Green Bay Packers,Washington Redskins,Packers
2001,3,St. Louis Rams,Miami Dolphins,Rams
2001,3,Minnesota Vikings,Tampa Bay Buccaneers,Vikings
2001,3,Washington Redskins,Kansas City Chiefs,Chiefs
2001,3,Carolina Panthers,Green Bay Packers,Packers
2001,3,New England Patriots,Indianapolis Colts,Patriots
2001,3,Buffalo Bills,Pittsburgh Steelers,Steelers
2001,3,New York Giants,New Orleans Saints,Giants
2001,3,Arizona Cardinals,Atlanta Falcons,Falcons
2001,3,Oakland Raiders,Seattle Seahawks,Raiders
2001,3,Denver Broncos,Baltimore Ravens,Ravens
2001,3,San Diego Chargers,Cincinnati Bengals,Chargers
2001,3,Jacksonville Jaguars,Cleveland Browns,Browns
2001,3,Philadelphia Eagles,Dallas Cowboys,Eagles
2001,3,New York Jets,San Francisco 49ers,49ers
2001,4,New Orleans Saints,Minnesota Vikings,Saints
2001,4,Baltimore Ravens,Tennessee Titans,Ravens
2001,4,Cleveland Browns,San Diego Chargers,Browns
2001,4,Pittsburgh Steelers,Cincinnati Bengals,Steelers
2001,4,Miami Dolphins,New England Patriots,Dolphins
2001,4,New York Giants,Washington Redskins,Giants
2001,4,Atlanta Falcons,Chicago Bears,Bears
2001,4,Philadelphia Eagles,Arizona Cardinals,Cardinals
2001,4,Oakland Raiders,Dallas Cowboys,Raiders
2001,4,Denver Broncos,Kansas City Chiefs,Broncos
2001,4,Buffalo Bills,New York Jets,Jets
2001,4,Seattle Seahawks,Jacksonville Jaguars,Seahawks
2001,4,Tampa Bay Buccaneers,Green Bay Packers,Bucaneers
2001,4,San Francisco 49ers,Carolina Panthers,49ers
2001,4,Detroit Lions,St. Louis Rams,Rams
2001,5,Kansas City Chiefs,Pittsburgh Steelers,Steelers
2001,5,St. Louis Rams,New York Giants,Rams
2001,5,Chicago Bears,Arizona Cardinals,Bears
2001,5,Minnesota Vikings,Detroit Lions,Vikings
2001,5,Cincinnati Bengals,Cleveland Browns,Bengals
2001,5,Carolina Panthers,New Orleans Saints,Saints
2001,5,Green Bay Packers,Baltimore Ravens,Packers
2001,5,New England Patriots,San Diego Chargers,Patriots
2001,5,Tennessee Titans,Tampa Bay Buccaneers,Titans
2001,5,Atlanta Falcons,San Francisco 49ers,49ers
2001,5,New York Jets,Miami Dolphins,Jets
2001,5,Seattle Seahawks,Denver Broncos,Seahawks
2001,5,Indianapolis Colts,Oakland Raiders,Raiders
2001,5,Dallas Cowboys,Washington Redskins,Cowboys
2001,6,Jacksonville Jaguars,Buffalo Bills,Bills
2001,6,New Orleans Saints,Atlanta Falcons,Falcons
2001,6,Detroit Lions,Tennessee Titans,Titans
2001,6,Indianapolis Colts,New England Patriots,Patriots
2001,6,Tampa Bay Buccaneers,Pittsburgh Steelers,Steelers
2001,6,Washington Redskins,Carolina Panthers,Redskins
2001,6,Cincinnati Bengals,Chicago Bears,Bears
2001,6,Cleveland Browns,Baltimore Ravens,Browns
2001,6,New York Jets,St. Louis Rams,Rams
2001,6,San Diego Chargers,Denver Broncos,Chargers
2001,6,Minnesota Vikings,Green Bay Packers,Vikings
2001,6,Arizona Cardinals,Kansas City Chiefs,Cardinals
2001,6,New York Giants,Philadelphia Eagles,Eagles
2001,7,Kansas City Chiefs,Indianapolis Colts,Colts
2001,7,Detroit Lions,Cincinnati Bengals,Bengals
2001,7,Baltimore Ravens,Jacksonville Jaguars,Ravens
2001,7,Tampa Bay Buccaneers,Minnesota Vikings,Bucaneers
2001,7,St. Louis Rams,New Orleans Saints,Saints
2001,7,Carolina Panthers,New York Jets,Jets
2001,7,Chicago Bears,San Francisco 49ers,Bears
2001,7,San Diego Chargers,Buffalo Bills,Chargers
2001,7,Denver Broncos,New England Patriots,Broncos
2001,7,Dallas Cowboys,Arizona Cardinals,Cowboys
2001,7,Washington Redskins,New York Giants,Redskins
2001,7,Philadelphia Eagles,Oakland Raiders,Raiders
2001,7,Seattle Seahawks,Miami Dolphins,Dolphins
2001,7,Pittsburgh Steelers,Tennessee Titans,Steelers
2001,8,Buffalo Bills,Indianapolis Colts,Colts
2001,8,Pittsburgh Steelers,Baltimore Ravens,Ravens
2001,8,Atlanta Falcons,New England Patriots,Patriots
2001,8,Miami Dolphins,Carolina Panthers,Dolphins
2001,8,Green Bay Packers,Tampa Bay Buccaneers,Packers
2001,8,Tennessee Titans,Jacksonville Jaguars,Titans
2001,8,New York Giants,Dallas Cowboys,Giants
2001,8,San Francisco 49ers,Detroit Lions,49ers
2001,8,Arizona Cardinals,Philadelphia Eagles,Eagles
2001,8,Washington Redskins,Seattle Seahawks,Redskins
2001,8,Chicago Bears,Cleveland Browns,Bears
2001,8,San Diego Chargers,Kansas City Chiefs,Chiefs
2001,8,New Orleans Saints,New York Jets,Jets
2001,8,Oakland Raiders,Denver Broncos,Raiders
2001,9,Indianapolis Colts,Miami Dolphins,Dolphins
2001,9,Chicago Bears,Green Bay Packers,Packers
2001,9,New England Patriots,Buffalo Bills,Patriots
2001,9,New York Jets,Kansas City Chiefs,Jets
2001,9,St. Louis Rams,Carolina Panthers,Rams
2001,9,Cleveland Browns,Pittsburgh Steelers,Steelers
2001,9,Jacksonville Jaguars,Cincinnati Bengals,Jaguars
2001,9,Detroit Lions,Tampa Bay Buccaneers,Bucaneers
2001,9,Atlanta Falcons,Dallas Cowboys,Falcons
2001,9,Denver Broncos,San Diego Chargers,Broncos
2001,9,Philadelphia Eagles,Minnesota Vikings,Eagles
2001,9,San Francisco 49ers,New Orleans Saints,49ers
2001,9,Arizona Cardinals,New York Giants,Giants
2001,9,Seattle Seahawks,Oakland Raiders,Seahawks
2001,9,Tennessee Titans,Baltimore Ravens,Ravens
2001,10,Baltimore Ravens,Cleveland Browns,Browns
2001,10,Green Bay Packers,Atlanta Falcons,Falcons
2001,10,New Orleans Saints,Indianapolis Colts,Saints
2001,10,Miami Dolphins,New York Jets,Jets
2001,10,Buffalo Bills,Seattle Seahawks,Seahawks
2001,10,Cincinnati Bengals,Tennessee Titans,Titans
2001,10,Carolina Panthers,San Francisco 49ers,49ers
2001,10,Dallas Cowboys,Philadelphia Eagles,Eagles
2001,10,Oakland Raiders,San Diego Chargers,Raiders
2001,10,Pittsburgh Steelers,Jacksonville Jaguars,Steelers
2001,10,Arizona Cardinals,Detroit Lions,Cardinals
2001,10,Tampa Bay Buccaneers,Chicago Bears,Bears
2001,10,Denver Broncos,Washington Redskins,Redskins
2001,10,New England Patriots,St. Louis Rams,Rams
2001,10,Minnesota Vikings,New York Giants,Vikings
2001,11,Detroit Lions,Green Bay Packers,Packers
2001,11,Dallas Cowboys,Denver Broncos,Broncos
2001,11,Kansas City Chiefs,Seattle Seahawks,Chiefs
2001,11,Indianapolis Colts,San Francisco 49ers,49ers
2001,11,Buffalo Bills,Miami Dolphins,Dolphins
2001,11,Carolina Panthers,Atlanta Falcons,Falcons
2001,11,Cleveland Browns,Cincinnati Bengals,Browns
2001,11,Philadelphia Eagles,Washington Redskins,Redskins
2001,11,Tennessee Titans,Pittsburgh Steelers,Steelers
2001,11,New England Patriots,New Orleans Saints,Patriots
2001,11,San Diego Chargers,Arizona Cardinals,Cardinals
2001,11,Jacksonville Jaguars,Baltimore Ravens,Ravens
2001,11,New York Giants,Oakland Raiders,Raiders
2001,11,Minnesota Vikings,Chicago Bears,Bears
2001,11,St. Louis Rams,Tampa Bay Buccaneers,Bucaneers
2001,12,Kansas City Chiefs,Philadelphia Eagles,Eagles
2001,12,Pittsburgh Steelers,Minnesota Vikings,Steelers
2001,12,Baltimore Ravens,Indianapolis Colts,Ravens
2001,12,Cleveland Browns,Tennessee Titans,Titans
2001,12,Cincinnati Bengals,Tampa Bay Buccaneers,Bucaneers
2001,12,Miami Dolphins,Denver Broncos,Dolphins
2001,12,New York Jets,New England Patriots,Patriots
2001,12,Chicago Bears,Detroit Lions,Bears
2001,12,New Orleans Saints,Carolina Panthers,Saints
2001,12,Seattle Seahawks,San Diego Chargers,Seahawks
2001,12,Washington Redskins,Dallas Cowboys,Cowboys
2001,12,Oakland Raiders,Arizona Cardinals,Cardinals
2001,12,Atlanta Falcons,St. Louis Rams,Rams
2001,12,San Francisco 49ers,Buffalo Bills,49ers
2001,12,Jacksonville Jaguars,Green Bay Packers,Packers
2001,13,Minnesota Vikings,Tennessee Titans,Vikings
2001,13,Tampa Bay Buccaneers,Detroit Lions,Bucaneers
2001,13,St. Louis Rams,San Francisco 49ers,Rams
2001,13,Green Bay Packers,Chicago Bears,Packers
2001,13,New England Patriots,Cleveland Browns,Patriots
2001,13,Buffalo Bills,Carolina Panthers,Bills
2001,13,Dallas Cowboys,New York Giants,Cowboys
2001,13,Cincinnati Bengals,Jacksonville Jaguars,Jaguars
2001,13,Philadelphia Eagles,San Diego Chargers,Eagles
2001,13,Atlanta Falcons,New Orleans Saints,Saints
2001,13,Arizona Cardinals,Washington Redskins,Redskins
2001,13,Pittsburgh Steelers,New York Jets,Steelers
2001,13,Oakland Raiders,Kansas City Chiefs,Raiders
2001,13,Denver Broncos,Seattle Seahawks,Broncos
2001,13,Miami Dolphins,Indianapolis Colts,Dolphins
2001,14,New York Giants,Arizona Cardinals,Giants
2001,14,San Diego Chargers,Oakland Raiders,Raiders
2001,14,Indianapolis Colts,Atlanta Falcons,Colts
2001,14,Kansas City Chiefs,Denver Broncos,Chiefs
2001,14,Buffalo Bills,New England Patriots,Patriots
2001,14,New York Jets,Cincinnati Bengals,Jets
2001,14,Chicago Bears,Tampa Bay Buccaneers,Bears
2001,14,Detroit Lions,Minnesota Vikings,Lions
2001,14,Cleveland Browns,Jacksonville Jaguars,Jaguars
2001,14,San Francisco 49ers,Miami Dolphins,49ers
2001,14,Tennessee Titans,Green Bay Packers,Titans
2001,14,Washington Redskins,Philadelphia Eagles,Eagles
2001,14,Seattle Seahawks,Dallas Cowboys,Seahawks
2001,14,Baltimore Ravens,Pittsburgh Steelers,Steelers
2001,14,New Orleans Saints,St. Louis Rams,Rams
2001,15,New England Patriots,Miami Dolphins,Patriots
2001,15,San Francisco 49ers,Philadelphia Eagles,49ers
2001,15,Oakland Raiders,Tennessee Titans,Titans
2001,15,Minnesota Vikings,Jacksonville Jaguars,Jaguars
2001,15,Kansas City Chiefs,San Diego Chargers,Chiefs
2001,15,Pittsburgh Steelers,Detroit Lions,Steelers
2001,15,Tampa Bay Buccaneers,New Orleans Saints,Bucaneers
2001,15,Washington Redskins,Chicago Bears,Bears
2001,15,Baltimore Ravens,Cincinnati Bengals,Ravens
2001,15,Carolina Panthers,St. Louis Rams,Rams
2001,15,New York Giants,Seattle Seahawks,Giants
2001,15,Atlanta Falcons,Buffalo Bills,Falcons
2001,15,Arizona Cardinals,Dallas Cowboys,Cardinals
2001,15,Green Bay Packers,Cleveland Browns,Packers
2001,15,Indianapolis Colts,New York Jets,Jets
2001,16,Tampa Bay Buccaneers,Baltimore Ravens,Bucaneers
2001,16,Miami Dolphins,Atlanta Falcons,Dolphins
2001,16,Green Bay Packers,Minnesota Vikings,Packers
2001,16,Cincinnati Bengals,Pittsburgh Steelers,Bengals
2001,16,Carolina Panthers,Arizona Cardinals,Cardinals
2001,16,St. Louis Rams,Indianapolis Colts,Rams
2001,16,Detroit Lions,Chicago Bears,Bears
2001,16,New York Jets,Buffalo Bills,Bills
2001,16,Dallas Cowboys,San Francisco 49ers,Cowboys
